"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-01 00:00","2021","02","01","00:00","-7.6","","-11.7","","73","","0.0","","5","","34","","16.1","","101.11","","","","-17","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-01 01:00","2021","02","01","01:00","-8.1","","-12.4","","72","","0.0","","4","","32","","16.1","","101.09","","","","-17","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-01 02:00","2021","02","01","02:00","-8.9","","-14.5","","64","","0.0","","4","","26","","16.1","","101.12","","","","-18","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-01 03:00","2021","02","01","03:00","-9.1","","-14.7","","64","","0.0","","3","","17","","16.1","","101.13","","","","-16","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-01 04:00","2021","02","01","04:00","-8.9","","-14.5","","64","","0.0","","4","","17","","16.1","","101.12","","","","-16","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-01 05:00","2021","02","01","05:00","-8.7","","-14.4","","64","","0.0","","3","","17","","16.1","","101.09","","","","-16","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-01 06:00","2021","02","01","06:00","-8.4","","-14.1","","64","","0.0","","2","","15","","16.1","","101.12","","","","-15","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-01 07:00","2021","02","01","07:00","-8.1","","-13.8","","64","","0.0","","2","","13","","16.1","","101.15","","","","-14","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-01 08:00","2021","02","01","08:00","-8.1","","-14.0","","63","","0.0","","2","","15","","16.1","","101.17","","","","-14","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-01 09:00","2021","02","01","09:00","-8.0","","-13.5","","65","","0.0","","4","","17","","16.1","","101.16","","","","-15","","NA"
